Temp./°C;C1_S3;C1_S5;C2_S3;C2_S5;C3_S3;C3_S5;C4_S3;C4_S5;C5_S3;C5_S5;C6_S3;C6_S5;C7_S3;C7_S5;C8_S3;C8_S5;C9_S3;C9_S5;C10_S3;C10_S5
136.34483;     -0.38467;      0.38563;     -0.37296;0.35735;     -0.38263;0.37896;     -0.36236;0.3495;     -0.38135;0.37248;     -0.40411;0.40429;     -0.39047;0.35371;     -0.41859;0.40149;     -0.42442;0.42739;     -0.40821;0.40739
137.34483;     -0.38477;      0.38597;     -0.37342;0.35767;     -0.38299;0.3793;     -0.36276;0.34976;     -0.38183;0.3729;     -0.40466;0.40479;     -0.39111;0.35405;     -0.41916;0.40187;     -0.42482;0.42789;     -0.40868;0.40788
138.34483;     -0.38499;      0.38638;     -0.37388;0.35798;     -0.38334;0.37963;     -0.36322;0.35007;     -0.38228;0.3733;     -0.40522;0.40532;     -0.39170;0.35434;     -0.41971;0.40228;     -0.42521;0.42837;     -0.40913;0.40838
139.34483;     -0.38552;      0.38684;     -0.37436;0.35831;     -0.38375;0.37997;     -0.36363;0.35044;     -0.38280;0.37373;     -0.40579;0.40584;     -0.39234;0.35463;     -0.42029;0.40274;     -0.42566;0.4289;     -0.40961;0.4089
140.34483;     -0.38605;      0.38752;     -0.37485;0.35864;     -0.38411;0.38033;     -0.36405;0.3508;     -0.38328;0.37416;     -0.40637;0.40633;     -0.39302;0.35492;     -0.42086;0.40319;     -0.42614;0.42941;     -0.41001;0.40944
141.34483;     -0.38674;      0.38792;     -0.37534;0.35898;     -0.38452;0.38076;     -0.36450;0.35113;     -0.38380;0.37459;     -0.40690;0.40684;     -0.39364;0.35517;     -0.42137;0.40366;     -0.42662;0.42996;     -0.41044;0.40995
142.34483;     -0.38717;      0.38802;     -0.37583;0.35934;     -0.38494;0.38123;     -0.36492;0.35142;     -0.38430;0.37501;     -0.40744;0.40732;     -0.39426;0.35543;     -0.42195;0.40413;     -0.42711;0.43056;     -0.41086;0.41047
143.34483;     -0.38738;      0.38830;     -0.37630;0.35967;     -0.38531;0.38173;     -0.36539;0.35175;     -0.38478;0.37545;     -0.40796;0.4078;     -0.39489;0.35569;     -0.42251;0.40461;     -0.42754;0.43111;     -0.41125;0.41093
144.34483;     -0.38799;      0.38878;     -0.37676;0.35998;     -0.38571;0.38221;     -0.36589;0.35212;     -0.38534;0.37588;     -0.40842;0.4083;     -0.39550;0.35596;     -0.42310;0.40512;     -0.42800;0.4317;     -0.41172;0.41139
145.34483;     -0.38843;      0.38965;     -0.37727;0.3603;     -0.38613;0.38266;     -0.36645;0.35256;     -0.38583;0.37632;     -0.40888;0.4088;     -0.39616;0.35626;     -0.42371;0.40559;     -0.42845;0.43225;     -0.41219;0.41184
146.34483;     -0.38883;      0.39091;     -0.37778;0.36051;     -0.38656;0.38312;     -0.36699;0.35298;     -0.38637;0.37665;     -0.40937;0.40928;     -0.39683;0.35655;     -0.42426;0.40608;     -0.42890;0.4328;     -0.41268;0.41229
147.34483;     -0.38899;      0.39116;     -0.37829;0.36074;     -0.38699;0.38356;     -0.36753;0.35341;     -0.38694;0.37705;     -0.40980;0.40977;     -0.39749;0.35686;     -0.42479;0.40654;     -0.42937;0.43338;     -0.41317;0.41274
148.34483;     -0.38922;      0.39150;     -0.37881;0.36104;     -0.38750;0.38402;     -0.36809;0.35381;     -0.38750;0.37746;     -0.41028;0.41025;     -0.39821;0.35717;     -0.42535;0.40698;     -0.42985;0.43395;     -0.41371;0.41325
149.34483;     -0.38990;      0.38813;     -0.37931;0.36148;     -0.38803;0.38449;     -0.36862;0.35428;     -0.38812;0.37786;     -0.41079;0.41073;     -0.39887;0.35743;     -0.42591;0.40742;     -0.43033;0.43454;     -0.41422;0.41373
150.34483;     -0.39113;      0.39184;     -0.37988;0.36204;     -0.38856;0.38494;     -0.36915;0.35472;     -0.38874;0.37836;     -0.41131;0.41124;     -0.39962;0.35774;     -0.42650;0.40785;     -0.43080;0.43507;     -0.41478;0.41429
151.34483;     -0.39095;      0.39218;     -0.38049;0.36258;     -0.38918;0.3854;     -0.36971;0.35512;     -0.38944;0.37882;     -0.41186;0.41175;     -0.40033;0.35802;     -0.42710;0.4083;     -0.43127;0.43562;     -0.41535;0.41499
152.34483;     -0.39120;      0.39241;     -0.38110;0.36306;     -0.38975;0.38584;     -0.37030;0.35552;     -0.39020;0.37925;     -0.41242;0.41231;     -0.40107;0.35831;     -0.42773;0.40876;     -0.43172;0.43616;     -0.41587;0.41548
153.34483;     -0.39186;      0.39276;     -0.38177;0.36349;     -0.39035;0.38626;     -0.37090;0.35584;     -0.39096;0.37966;     -0.41301;0.41285;     -0.40190;0.35864;     -0.42839;0.40921;     -0.43218;0.43673;     -0.41642;0.41595
154.34483;     -0.39247;      0.39344;     -0.38243;0.36386;     -0.39092;0.38673;     -0.37158;0.35619;     -0.39176;0.38006;     -0.41360;0.4134;     -0.40269;0.35894;     -0.42903;0.40967;     -0.43269;0.43732;     -0.41694;0.42273
155.34483;     -0.39341;      0.39444;     -0.38312;0.3642;     -0.39150;0.38717;     -0.37226;0.35651;     -0.39256;0.38043;     -0.41416;0.41393;     -0.40361;0.35926;     -0.42968;0.41013;     -0.43319;0.4379;     -0.41746;0.42626
156.34483;     -0.39349;      0.39521;     -0.38381;0.36452;     -0.39209;0.38764;     -0.37302;0.35682;     -0.39339;0.38082;     -0.41476;0.41443;     -0.40444;0.35962;     -0.43036;0.41061;     -0.43373;0.43848;     -0.41801;0.42067
157.34483;     -0.39418;      0.39552;     -0.38452;0.3649;     -0.39271;0.38811;     -0.37378;0.35718;     -0.39422;0.38123;     -0.41535;0.41496;     -0.40537;0.35996;     -0.43105;0.41108;     -0.43431;0.43902;     -0.41858;0.42008
158.34483;     -0.39488;      0.39601;     -0.38525;0.36529;     -0.39335;0.38855;     -0.37456;0.35753;     -0.39509;0.38165;     -0.41601;0.41545;     -0.40633;0.36032;     -0.43176;0.41153;     -0.43490;0.43953;     -0.41923;0.42031
159.34483;     -0.39578;      0.39645;     -0.38602;0.36573;     -0.39402;0.38901;     -0.37540;0.35789;     -0.39594;0.38208;     -0.41668;0.41597;     -0.40737;0.36066;     -0.43246;0.412;     -0.43556;0.44005;     -0.41990;0.42059
